USERID,score,city,gender,age,equity,balance,products,credit_card,last_activity,EST_SALARY,churn
135127,737.0,Ярославль,Ж,34.0,0,,2,1,1,148157.43,0
158348,774.0,Ярославль,М,29.0,3,182051.05,2,1,1,51592.47,0
201526,894.0,Ярославль,Ж,32.0,4,1319552.08,2,0,1,140952.99,1
140853,930.0,Рыбинск,М,46.0,0,,1,1,0,287193.28,0
192966,686.0,Рыбинск,Ж,33.0,0,,1,1,1,518488.59,0
227092,1000.0,Ярославль,М,32.0,5,19757180.85,2,1,1,1024626.5,0
118178,875.0,Ярославль,М,35.0,0,,1,1,0,142326.67,0
139353,893.0,Ярославль,М,27.0,0,,1,1,1,104243.04,0
141891,815.0,Ярославль,Ж,50.0,4,407936.79,3,0,1,89622.11,0
140548,819.0,Ярославль,Ж,39.0,3,636740.8,2,0,0,178357.55,0
191820,893.0,Ярославль,М,45.0,4,719664.96,2,1,0,243778.06,0
133065,869.0,Рыбинск,Ж,59.0,3,349429.16,2,1,1,52011.74,0
149551,854.0,Ярославль,М,34.0,5,819129.73,2,1,0,82647.62,0
196162,763.0,Ростов,Ж,38.0,3,193372.31,3,0,0,130947.42,0
200020,814.0,Рыбинск,М,37.0,2,1337211.39,3,1,0,159263.98,0
133932,810.0,Ярославль,М,36.0,2,147589.91,1,1,1,91355.92,0
208732,927.0,Ярославль,М,48.0,0,,1,1,1,194820.08,0
163907,761.0,Ярославль,М,31.0,0,,1,1,0,999177.17,0
173386,915.0,Ярославль,Ж,48.0,0,,2,0,0,800733.72,0
195558,927.0,Ярославль,М,32.0,0,,1,1,1,469062.08,0
191621,850.0,Рыбинск,Ж,68.0,4,399127.6,2,1,0,68970.38,0
189509,802.0,Ярославль,Ж,60.0,3,363680.15,2,0,0,56465.63,0
169489,927.0,Рыбинск,М,33.0,4,2613802.73,2,1,1,132829.92,1
198181,958.0,Ярославль,М,34.0,3,5763239.76,2,1,1,920730.06,1
118957,811.0,Ярославль,Ж,31.0,3,477562.06,2,1,1,107942.33,0
157330,917.0,Ростов,Ж,61.0,4,902847.64,2,1,0,75747.92,0
189685,850.0,Ярославль,Ж,59.0,4,832950.19,2,1,1,61821.42,1
117938,849.0,Ярославль,М,35.0,5,776604.18,1,1,0,58818.98,0
122769,868.0,Ростов,Ж,58.0,5,1334745.59,4,0,1,63049.6,1
218801,958.0,Ярославль,М,34.0,0,,1,1,0,1292825.74,0
185748,850.0,Рыбинск,М,36.0,5,1203376.67,2,0,1,89401.82,1
119177,845.0,Ярославль,Ж,29.0,4,755670.79,3,0,1,112289.5,0
179865,745.0,Ростов,М,36.0,2,342502.82,2,1,1,91779.81,0
218828,863.0,Ярославль,М,32.0,4,1368110.09,2,1,1,145887.26,0
139973,787.0,Ростов,Ж,54.0,3,596455.34,1,1,1,96959.35,0
185762,779.0,Ростов,Ж,39.0,1,117716.55,3,1,0,64268.29,0
145747,850.0,Рыбинск,Ж,39.0,3,1060098.78,2,0,1,200256.52,1
205394,736.0,Ярославль,Ж,48.0,0,,1,1,1,264009.72,0
200289,906.0,Ярославль,Ж,47.0,4,2850862.57,2,0,1,313845.95,1
160408,908.0,Ярославль,Ж,47.0,0,,2,1,1,192094.85,0
171716,908.0,Рыбинск,М,30.0,3,245237.57,4,1,1,78324.89,1
197364,928.0,Рыбинск,Ж,53.0,6,1347183.86,2,0,1,168189.49,1
129663,811.0,Ярославль,Ж,38.0,2,122293.98,2,1,1,78174.9,0
221469,845.0,Ярославль,М,62.0,1,136550.45,2,1,1,68823.33,0
188667,921.0,Рыбинск,М,47.0,0,,1,1,1,296353.22,0
136877,884.0,Ярославль,М,36.0,0,,1,1,1,221498.95,0
117671,853.0,Ростов,М,28.0,5,315741.45,2,0,1,31746.61,1
208842,868.0,Ярославль,Ж,31.0,4,348078.33,1,1,0,50011.82,0
149037,780.0,Ярославль,М,31.0,4,249759.89,2,1,1,65009.84,0
172030,726.0,Ярославль,Ж,44.0,0,,1,1,0,279848.59,0
201549,881.0,Ярославль,М,27.0,3,128051.14,2,1,0,69424.66,0
116596,975.0,Ярославль,Ж,45.0,3,1039431.68,2,1,1,103750.62,0
191272,906.0,Ярославль,Ж,32.0,4,895645.72,4,0,1,101311.52,0
224046,893.0,Ярославль,Ж,40.0,0,,1,1,1,211420.86,0
145135,852.0,Ростов,Ж,62.0,2,339580.99,2,0,0,55269.69,0
227932,965.0,Рыбинск,М,37.0,4,475350.04,3,1,1,105718.88,0
129406,917.0,Ярославль,Ж,35.0,0,,1,1,1,182898.43,0
147950,899.0,Ярославль,М,37.0,4,2229215.25,3,0,1,304260.47,1
226887,890.0,Ярославль,М,49.0,4,3956103.1,2,1,0,1120528.7,0
181479,836.0,Ярославль,Ж,53.0,5,417289.0,2,0,1,84232.78,0
224748,761.0,Рыбинск,Ж,21.0,1,8881.01,2,1,1,60353.55,0
214984,809.0,Ярославль,Ж,31.0,4,259011.41,1,1,1,65094.37,0
173189,818.0,Ярославль,Ж,65.0,4,1125782.76,2,1,1,52331.45,0
164652,880.0,Ярославль,Ж,35.0,5,777716.01,4,0,1,136790.96,0
157983,795.0,Ярославль,М,37.0,4,309785.88,2,1,1,80804.74,1
117718,916.0,Ярославль,М,32.0,6,601574.18,2,0,1,98662.51,0
116616,871.0,Ярославль,Ж,34.0,4,587999.75,1,1,0,55808.81,0
160545,726.0,Ростов,Ж,61.0,1,,1,1,0,231704.73,0
203432,775.0,Рыбинск,Ж,59.0,2,304654.86,1,1,0,98314.94,0
187293,902.0,Ярославль,М,58.0,5,1027757.27,1,1,1,89703.48,1
156786,918.0,Рыбинск,М,34.0,5,444667.15,2,0,0,167437.45,0
156386,880.0,Рыбинск,Ж,51.0,5,1344096.7,2,0,1,150300.26,0
179262,842.0,Ростов,Ж,57.0,5,573994.56,1,1,1,44750.95,0
136849,819.0,Ярославль,М,53.0,2,1138881.37,2,1,1,112233.87,1
116157,771.0,Ярославль,Ж,33.0,4,373677.64,2,1,1,41615.9,0
216290,895.0,Ярославль,М,33.0,0,,1,1,1,238627.2,0
182189,801.0,Ярославль,Ж,25.0,2,124237.47,2,1,1,294454.03,0
170723,838.0,Ярославль,М,39.0,5,963186.07,2,1,0,98461.16,0
215958,894.0,Ярославль,М,29.0,5,583161.84,1,1,0,69454.78,0
180723,721.0,Ярославль,М,61.0,0,,1,1,0,112236.68,0
219269,966.0,Ярославль,М,40.0,1,,1,1,1,288972.03,0
157462,841.0,Рыбинск,М,35.0,1,222271.49,1,1,0,74562.23,0
136755,804.0,Ярославль,Ж,30.0,3,382237.95,2,1,1,135818.45,0
189519,885.0,Рыбинск,М,62.0,7,617358.97,4,0,1,42887.04,0
206342,863.0,Ярославль,Ж,54.0,7,1011410.42,3,0,0,77581.5,0
199646,766.0,Ростов,Ж,63.0,5,434888.53,2,0,1,59838.86,0
215418,986.0,Рыбинск,М,41.0,1,245589.91,2,0,1,135985.82,0
190260,902.0,Ростов,Ж,66.0,0,,1,1,0,61739.36,0
214357,819.0,Ярославль,М,34.0,3,1228101.55,4,1,1,141504.44,1
190180,885.0,Ростов,Ж,32.0,3,375571.52,2,0,0,77500.41,0
214091,753.0,Ростов,Ж,41.0,3,844855.62,1,1,0,78292.69,0
198621,797.0,Рыбинск,М,39.0,1,120397.54,1,1,0,316316.1,0
207792,748.0,Ростов,М,40.0,1,286326.13,3,1,0,152794.54,0
141896,845.0,Ростов,Ж,41.0,0,179615.2,2,0,0,196600.1,0
228715,832.0,Ярославль,Ж,30.0,5,339856.17,1,1,1,35638.37,0
214262,971.0,Ярославль,Ж,35.0,7,4554977.52,1,1,1,266571.08,1
186292,854.0,Рыбинск,Ж,40.0,5,824345.34,4,0,1,79888.57,0
145237,979.0,Ярославль,М,49.0,0,,1,1,0,375219.69,0
225201,798.0,Ярославль,Ж,38.0,5,484164.77,2,1,0,264244.33,0
161758,754.0,Ярославль,Ж,80.0,1,332616.82,3,0,1,114804.27,0
218394,880.0,Рыбинск,Ж,31.0,5,390591.84,2,1,1,167091.52,0
208694,756.0,Ярославль,М,38.0,0,69271.35,1,1,0,131420.33,1
207972,758.0,Ярославль,Ж,44.0,2,342211.92,1,1,0,117756.69,0
180144,921.0,Ярославль,Ж,62.0,0,,1,0,1,85312.42,0
184004,775.0,Рыбинск,Ж,41.0,5,1199264.0,2,1,1,105654.56,0
194723,825.0,Ярославль,Ж,61.0,5,1464202.67,3,0,1,69865.88,0
192516,793.0,Рыбинск,Ж,67.0,3,339511.05,2,0,0,14781.04,0
196312,841.0,Ростов,М,43.0,1,307564.04,2,1,0,295452.96,0
122348,923.0,Ярославль,Ж,35.0,5,1067510.14,2,0,1,173940.25,1
180228,875.0,Ярославль,М,47.0,4,647985.69,2,1,0,52738.14,0
166742,870.0,Ярославль,Ж,58.0,5,535952.27,2,1,1,66000.64,0
190253,823.0,Рыбинск,М,37.0,4,373348.39,2,0,1,131947.92,1
214043,881.0,Ярославль,М,42.0,3,1206192.01,4,0,0,106611.03,0
208485,891.0,Рыбинск,М,40.0,2,1354266.72,1,1,0,295247.37,0
190240,658.0,Рыбинск,Ж,41.0,0,,1,1,1,129899.79,0
218973,734.0,Ярославль,Ж,42.0,0,,1,1,0,285096.64,0
156551,954.0,Рыбинск,М,41.0,4,2941821.67,2,1,0,434600.49,0
187043,827.0,Ярославль,М,69.0,5,1024786.6,3,0,0,85853.26,1
150336,929.0,Рыбинск,Ж,34.0,4,1514214.91,4,0,1,137713.02,1
193691,775.0,Ярославль,Ж,34.0,5,649822.98,2,1,1,87378.92,0
129694,849.0,Ростов,Ж,66.0,5,1074138.88,2,1,0,25637.39,0
167486,760.0,Рыбинск,Ж,24.0,3,558434.5,2,0,1,146732.5,0
134511,917.0,Ярославль,Ж,65.0,5,740460.45,2,1,1,57855.12,0
174442,859.0,Рыбинск,М,25.0,2,166921.91,2,1,0,184897.19,0
203775,774.0,Ростов,Ж,57.0,1,206067.48,2,0,0,76236.43,0
196259,829.0,Рыбинск,Ж,42.0,2,384806.79,2,1,1,128022.88,0
166592,908.0,Ярославль,М,54.0,0,,1,1,1,149038.89,0
228248,922.0,Ярославль,Ж,34.0,4,1290853.09,2,0,0,120835.47,0
180899,930.0,Ярославль,М,32.0,4,5527695.02,3,0,1,360963.15,0
221930,842.0,Ярославль,Ж,70.0,4,380497.29,2,1,0,127453.23,0
210357,766.0,Ярославль,М,27.0,0,,1,1,0,1015754.12,0
218888,688.0,Рыбинск,М,39.0,0,,1,1,0,179113.34,0
222392,659.0,Ярославль,М,48.0,0,,1,1,1,260732.24,0
220825,908.0,Рыбинск,Ж,35.0,0,,1,0,1,94896.19,0
213094,817.0,Ростов,Ж,33.0,2,253907.7,2,1,1,126764.53,0
219624,906.0,Ростов,Ж,77.0,0,,1,1,0,138937.87,0
141960,718.0,Ярославль,М,48.0,0,,2,1,1,123443.86,0
129163,922.0,Ростов,Ж,43.0,4,1282115.76,2,0,1,158981.57,1
215367,811.0,Ярославль,М,37.0,1,178612.96,1,1,0,92349.24,0
196871,944.0,Ярославль,Ж,69.0,0,,1,1,0,254548.39,0
118397,705.0,Ярославль,М,35.0,0,,1,1,0,248714.69,0
166341,920.0,Ярославль,М,39.0,0,,1,1,0,146488.41,0
129270,897.0,Рыбинск,Ж,59.0,4,1071619.81,2,0,1,129941.97,1
210814,652.0,Ярославль,М,34.0,0,,1,1,1,188786.49,0
206236,827.0,Рыбинск,М,44.0,3,1056137.83,2,1,1,144731.32,0
157448,649.0,Рыбинск,М,37.0,0,,1,1,1,81942.85,0
206272,862.0,Ярославль,М,41.0,4,1519440.16,3,0,1,221606.19,0
176442,770.0,Ростов,Ж,72.0,3,324048.23,3,0,1,41498.18,0
214300,824.0,Ярославль,Ж,29.0,5,393278.29,2,0,0,60647.57,0
179269,831.0,Ярославль,М,34.0,7,765902.68,3,0,0,112892.71,1
196630,934.0,Ярославль,Ж,30.0,0,,1,1,1,116867.74,0
223933,899.0,Рыбинск,Ж,54.0,4,773088.27,2,1,1,58563.31,0
184024,952.0,Ярославль,Ж,29.0,0,,1,1,1,90782.55,0
144352,977.0,Ростов,Ж,36.0,0,26312.31,1,1,1,140598.2,0
159664,906.0,Ярославль,Ж,37.0,4,1136322.83,2,1,0,177303.49,0
125155,897.0,Ростов,Ж,68.0,4,701925.78,1,1,1,210686.4,1
178089,914.0,Ярославль,Ж,51.0,0,,1,0,1,197598.06,0
215064,871.0,Рыбинск,Ж,34.0,2,311039.81,2,0,0,130024.92,0
124460,840.0,Ростов,Ж,64.0,4,422526.16,2,1,1,17926.76,0
135847,709.0,Ярославль,Ж,65.0,0,,1,1,1,72805.62,0
192874,878.0,Ярославль,Ж,32.0,4,482440.87,2,1,1,85578.07,0
215077,894.0,Ярославль,Ж,49.0,0,,1,1,0,76711.48,0
201157,829.0,Рыбинск,Ж,47.0,2,310777.31,2,1,0,132723.19,0
136262,878.0,Ярославль,Ж,44.0,3,1151318.03,4,1,1,222976.85,1
120003,794.0,Ярославль,Ж,45.0,3,1183432.57,2,0,1,114929.64,0
198979,808.0,Рыбинск,Ж,63.0,3,509652.11,2,0,0,49620.78,0
180662,900.0,Ярославль,Ж,55.0,4,1201448.12,2,0,1,181174.58,1
169132,778.0,Ростов,Ж,23.0,2,163271.39,2,0,1,55147.74,0
126925,800.0,Ярославль,М,49.0,5,1421298.53,2,1,1,57218.42,0
220025,916.0,Ярославль,Ж,64.0,5,1031565.06,1,1,0,52021.55,0
192207,813.0,Ярославль,М,53.0,5,292586.57,2,1,0,150332.11,0
136863,819.0,Рыбинск,Ж,60.0,3,267908.54,2,1,0,60332.79,0
141045,770.0,Ярославль,Ж,37.0,3,248929.46,2,1,1,127627.75,0
202173,794.0,Ярославль,Ж,39.0,5,738183.44,1,1,0,62892.4,0
141253,930.0,Рыбинск,М,28.0,4,1338022.5,2,0,1,167743.49,1
194285,905.0,Ярославль,М,31.0,5,279765.22,4,1,0,80088.36,1
204143,925.0,Ярославль,М,25.0,0,,2,1,0,1001009.4,0
148256,946.0,Рыбинск,М,69.0,4,3221755.73,1,1,0,171287.97,0
212688,697.0,Ярославль,М,30.0,0,,2,1,0,270318.69,0
157128,818.0,Ярославль,М,45.0,5,985195.41,2,1,1,84421.67,0
135792,897.0,Ростов,М,41.0,0,,1,1,1,269613.04,0
210046,852.0,Ростов,Ж,52.0,2,630175.74,2,0,1,159241.27,1
164876,942.0,Ярославль,М,40.0,0,,1,1,0,1256537.74,0
128212,826.0,Ярославль,М,39.0,4,634816.72,2,1,1,216222.59,0
145477,816.0,Ростов,М,60.0,5,565473.62,2,0,1,39997.72,0
193951,884.0,Ярославль,Ж,50.0,4,1106692.13,1,1,0,119285.72,0
134021,846.0,Ярославль,М,41.0,5,1237859.39,3,1,0,227642.4,0
170532,848.0,Ярославль,М,54.0,3,829551.42,1,1,1,111322.48,1
150072,717.0,Рыбинск,М,39.0,0,,1,1,0,617801.94,0
195630,712.0,Рыбинск,М,43.0,0,,1,1,1,161976.13,0
220562,973.0,Ярославль,М,36.0,0,,3,0,0,881181.61,0
154879,881.0,Ярославль,Ж,46.0,5,538329.37,3,0,0,101036.02,0
166884,868.0,Ярославль,М,59.0,7,550601.75,4,1,1,79955.27,0
211236,879.0,Рыбинск,М,53.0,0,,2,0,0,104922.65,0
220193,987.0,Рыбинск,М,58.0,5,1137747.96,3,0,0,52950.12,1
178081,870.0,Ярославль,Ж,52.0,5,564600.85,2,0,0,137366.02,0
156809,805.0,Ростов,Ж,32.0,3,245626.37,2,0,1,75369.51,0
179617,840.0,Ярославль,М,27.0,2,129231.91,2,1,0,15709.2,0
210076,872.0,Ярославль,М,38.0,4,2186021.54,2,0,1,250230.62,1
138329,904.0,Рыбинск,М,34.0,0,,1,1,0,245933.38,0
212515,789.0,Ярославль,М,33.0,3,296676.19,2,1,0,64523.48,0
164378,895.0,Ярославль,Ж,37.0,0,,1,1,0,242394.23,0
188956,939.0,Ярославль,Ж,35.0,4,2673406.48,3,0,0,227764.74,0
116936,993.0,Ярославль,М,36.0,5,853635.89,2,1,0,132313.31,0
221077,925.0,Ярославль,Ж,51.0,5,5049319.16,3,0,1,224310.01,0
180464,790.0,Ярославль,М,48.0,4,372265.45,2,1,0,158765.55,0
173071,870.0,Рыбинск,Ж,33.0,5,434214.65,2,0,0,92338.67,0
118804,799.0,Ярославль,Ж,32.0,5,588405.49,1,1,0,71999.44,0
213071,785.0,Ярославль,М,31.0,0,114718.19,1,1,1,67726.52,0
144590,758.0,Рыбинск,М,38.0,0,272910.97,1,1,1,77980.36,1
161384,943.0,Ярославль,Ж,40.0,4,2853182.5,4,1,1,224548.68,1
129216,903.0,Ярославль,Ж,32.0,0,,1,1,1,169187.0,0
224362,839.0,Ярославль,Ж,33.0,1,100936.7,2,1,0,167856.16,0
206173,892.0,Ярославль,Ж,51.0,4,656179.12,2,1,0,63270.2,0
127444,828.0,Ростов,Ж,31.0,3,278513.34,2,1,1,26915.29,0
157308,824.0,Рыбинск,М,68.0,4,803574.98,1,1,1,101209.3,1
198229,898.0,Ярославль,Ж,29.0,7,677637.65,2,1,1,99659.69,1
161911,882.0,Ярославль,М,26.0,3,138906.2,1,1,1,186040.18,1
138587,875.0,Ростов,Ж,61.0,1,274481.68,2,1,1,85621.18,0
177121,765.0,Ростов,Ж,65.0,3,722317.29,1,1,1,31153.04,0
205757,885.0,Ярославль,Ж,40.0,0,,2,0,0,157315.81,0
152527,823.0,Ярославль,М,39.0,0,31111.2,2,1,0,96251.78,1
160501,883.0,Рыбинск,М,49.0,1,166168.91,2,1,0,72176.75,0
147612,814.0,Ярославль,Ж,61.0,0,97174.81,2,1,0,108413.26,0
144571,806.0,Рыбинск,Ж,40.0,4,425437.67,2,0,0,223022.89,0
216874,885.0,Ростов,М,27.0,0,,1,1,1,33806.01,0
148261,868.0,Ярославль,Ж,50.0,2,188812.41,2,1,0,83479.01,0
160547,885.0,Ростов,Ж,63.0,3,485619.82,2,0,0,68895.01,0
206533,846.0,Ярославль,Ж,51.0,3,431860.08,2,1,0,167629.1,0
158557,835.0,Ярославль,М,53.0,4,720449.63,2,1,0,174211.59,1
131680,883.0,Ярославль,М,32.0,5,406375.0,1,1,0,111599.4,0
171787,964.0,Ярославль,М,25.0,0,,1,1,0,167940.76,0
